"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBMS3",0,3.30646135723541,0.663,0.107,0
"FBXL7",0,2.78910794925038,0.623,0.093,0
"DCN",0,3.11925768372033,0.586,0.062,0
"IGFBP7",0,2.5073139954592,0.699,0.183,0
"ADAMTS9-AS2",0,4.8142463784216,0.541,0.035,0
"SPARC",0,2.20846078139874,0.631,0.126,0
"MEG3",0,4.58893448071165,0.559,0.056,0
"IGFBP4",0,3.60472423971774,0.59,0.091,0
"COL6A2",0,2.24917289900768,0.612,0.114,0
"NAV3",0,4.36450675844717,0.57,0.074,0
"PEG3",0,6.19997537368482,0.501,0.019,0
"ZFPM2",0,2.89321825802377,0.627,0.151,0
"CALD1",0,2.10854983598494,0.721,0.248,0
"COL1A1",0,1.82633223505758,0.571,0.1,0
"COL1A2",0,1.60048578159356,0.584,0.114,0
"RHOBTB3",0,3.17274977782579,0.562,0.096,0
"LAMA2",0,4.43180492114636,0.496,0.036,0
"NR2F2",0,3.34287652041525,0.587,0.129,0
"COL6A3",0,1.87730439182814,0.522,0.065,0
"CDH11",0,2.57947213701937,0.516,0.061,0
"BNC2",0,2.53364575521393,0.672,0.218,0
"MIR99AHG",0,2.50433763512524,0.645,0.193,0
"C7",0,5.4134618133986,0.459,0.011,0
"NR2F2-AS1",0,4.02538604494153,0.504,0.056,0
"EBF1",0,3.0169465592963,0.5,0.055,0
"COL6A1",0,2.03077586497195,0.591,0.147,0
"DLC1",0,3.12202154640969,0.499,0.058,0
"FBN1",0,2.79237104721914,0.497,0.056,0
"FHL2",0,3.07036582245013,0.59,0.151,0
"COL3A1",0,1.62566781976496,0.517,0.079,0
"RBP1",0,3.49908906565454,0.612,0.176,0
"AKT3",0,1.20889567859025,0.651,0.22,0
"IGKC",0,-5.632911710493,0.028,0.455,0
"C11orf96",0,5.37697419848704,0.46,0.034,0
"TCEAL4",0,3.18100384783628,0.603,0.178,0
"GNG11",0,3.92429936539495,0.464,0.042,0
"MCC",0,2.78858312224189,0.57,0.148,0
"COL4A2",0,2.17501088598107,0.558,0.141,0
"GPC6",0,3.42593488022235,0.479,0.062,0
"BEX3",0,2.35108679191294,0.588,0.173,0
"PDGFRA",0,4.10366826438264,0.443,0.03,0
"TTC28",0,2.02020298351908,0.649,0.238,0
"GREB1",0,4.23244541661509,0.493,0.084,0
"CD74",0,-2.45128086131981,0.256,0.664,0
"RARRES2",0,1.21702713374084,0.531,0.124,0
"TGFBR3",0,2.4672002917682,0.576,0.169,0
"LHFPL6",0,2.65423472548903,0.479,0.073,0
"TPM2",0,2.81259247562415,0.573,0.167,0
"STAR",0,8.06158441079923,0.406,0.006,0
"ACSM3",0,4.1230947842446,0.515,0.116,0
"BICC1",0,2.2721956150677,0.476,0.077,0
"MGP",0,3.23452184003821,0.463,0.065,0
"SPARCL1",0,3.34351125025442,0.467,0.072,0
"DLG2",0,3.14226429559416,0.507,0.113,0
"COL4A1",0,2.25710737811593,0.487,0.093,0
"SNHG29",0,2.05606087284757,0.796,0.403,0
"GATA4",0,5.15885826696842,0.397,0.011,0
"PSD3",0,2.16683038317864,0.552,0.171,0
"KLF2",0,1.71613237572793,0.588,0.208,0
"MAGI2",0,3.27058384193027,0.458,0.082,0
"ST13",0,1.78443220417523,0.679,0.304,0
"LAMA4",0,2.89761772435157,0.442,0.067,0
"TIMP2",0,1.52111945002575,0.646,0.272,0
"SPTBN1",0,1.68768912377118,0.62,0.248,0
"SMOC2",0,4.1336603403631,0.412,0.04,0
"TIMP1",0,2.90815147562384,0.681,0.31,0
"DPYSL3",0,2.48208604398737,0.502,0.133,0
"AKAP12",0,3.08436481104178,0.463,0.094,0
"SULF2",0,2.97299171991655,0.461,0.093,0
"C12orf57",0,1.33101208468189,0.651,0.284,0
"EPS8",0,2.23671366082301,0.558,0.191,0
"SELENOP",0,1.86818676307261,0.506,0.139,0
"AUTS2",0,0.607903608684967,0.743,0.376,0
"PPP1R14A",0,3.22173030006038,0.437,0.07,0
"PLPP3",0,2.67139959963782,0.482,0.117,0
"CAV1",0,3.63346817757683,0.447,0.083,0
"FLRT2",0,4.08487665631446,0.39,0.026,0
"LAPTM4A",0,1.57831110636278,0.678,0.315,0
"FSTL1",0,2.91579998845631,0.448,0.085,0
"PDE10A",0,4.07581683068087,0.398,0.035,0
"EIF3F",0,1.24612904692551,0.643,0.28,0
"RGS1",0,-2.87594999889198,0.069,0.429,0
"AFF3",0,2.40731407651012,0.425,0.065,0
"RBPMS",0,2.48602586289566,0.507,0.147,0
"CFH",0,2.5170655989376,0.442,0.086,0
"IGFBP5",0,3.54003496685394,0.457,0.103,0
"MARCKSL1",0,2.20397315041634,0.563,0.211,0
"INSR",0,1.71478876473796,0.538,0.187,0
"GSTM3",0,3.5505652820837,0.416,0.065,0
"RBFOX2",0,1.34455133094734,0.657,0.308,0
"ANTXR1",0,1.36163480855517,0.464,0.116,0
"MYL9",0,2.25418912350519,0.549,0.201,0
"C1R",0,2.66823035701885,0.488,0.14,0
"C1S",0,2.16515649953439,0.532,0.185,0
"BTF3",0,1.39930786305064,0.845,0.498,0
"PPP2CB",0,1.80424161234229,0.56,0.214,0
"SKAP1",0,-1.44107257029261,0.179,0.525,0
"APP",0,1.37864159688018,0.637,0.291,0
"PTPRC",0,-0.950442319193944,0.245,0.591,0
"GAS5",0,1.49424835409719,0.74,0.396,0
"PBX1",0,1.12426565156688,0.591,0.248,0
"EID1",0,1.15325676547389,0.68,0.338,0
"MEG8",0,5.01752084174095,0.37,0.028,0
"APBB2",0,1.27235004651295,0.542,0.201,0
"HLA-DRA",0,-1.62478423725562,0.166,0.507,0
"CPQ",0,1.47813049439133,0.566,0.225,0
"IGLC2",0,-5.09913174314791,0.016,0.357,0
"TCEAL9",0,2.05917175404636,0.518,0.179,0
"OGN",0,5.81035104309281,0.355,0.016,0
"ATRNL1",0,5.23937593664839,0.354,0.015,0
"CAVIN1",0,2.63013817414293,0.436,0.097,0
"ENSG00000286125",0,4.93069113140706,0.36,0.021,0
"ARHGAP15",0,-1.37646276830938,0.237,0.575,0
"COL5A2",0,1.28906956330882,0.417,0.08,0
"FCGRT",0,1.41095611714833,0.565,0.228,0
"EEF2",0,1.46608356493737,0.803,0.467,0
"PRKN",0,2.02775965441028,0.476,0.14,0
"SDC2",0,2.76943902857517,0.415,0.079,0
