"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",3.86022380407407e-205,4.72010244916464,0.531,0.025,1.27815870376697e-200
"PID1",1.93276085412503e-189,-3.96380174259291,0.069,0.578,6.39956446409339e-185
"KCNMA1",7.38519620315257e-175,3.20798005080271,0.598,0.108,2.44531231482585e-170
"SPP1",2.22022807243642e-158,2.99371928630608,0.686,0.205,7.35139717064423e-154
"IFI27",2.81723603329018e-149,3.56735275418926,0.592,0.158,9.32815022982712e-145
"APOE",3.25499457737805e-142,2.92653813193893,0.721,0.318,1.07776125451565e-137
"CCL5",2.31157139394726e-140,2.51809221364842,0.51,0.079,7.65384404249878e-136
"IL4I1",2.3751207986562e-139,2.97871239424219,0.547,0.133,7.86426247643054e-135
"FN1",3.71654604354166e-139,2.96679781437449,0.579,0.155,1.23058556047708e-134
"CXCL10",1.35411203989744e-136,4.91411508881418,0.395,0.023,4.48360037530441e-132
"IGLC2",3.65784748287245e-135,9.7814519142013,0.357,0.006,1.2111498800539e-130
"RPL13",7.35971313237478e-132,-1.05193178208858,0.872,0.951,2.43687461526061e-127
"CXCL9",6.04748942584449e-129,3.04227624545505,0.371,0.017,2.00238422379137e-124
"APOC1",2.69398525837744e-128,2.3580324641256,0.636,0.226,8.92005458901355e-124
"ANKRD22",1.16782348929733e-126,3.99024304262924,0.384,0.027,3.86678035541238e-122
"IGHG4",1.80548980476203e-123,5.45510966222629,0.341,0.009,5.97815729254755e-119
"ABCG1",8.02670634468148e-122,2.86119787928537,0.486,0.095,2.65772273778749e-117
"SERPING1",9.02770891749587e-122,2.77044066864892,0.547,0.167,2.98916469967206e-117
"PARP14",4.80697046763528e-120,1.64247510373324,0.79,0.442,1.59163599153872e-115
"TPT1",5.55066835839135e-120,-0.965450932330564,0.887,0.946,1.83788180014696e-115
"LYVE1",3.02829572607212e-119,-6.19401805864211,0.018,0.353,1.00269899785974e-114
"HLA-DQA1",1.11117895731239e-117,2.05980229484337,0.765,0.457,3.67922464555706e-113
"NUPR1",1.77663245775741e-116,3.45173192794385,0.458,0.093,5.88260773088055e-112
"TMEM51",5.8632882212203e-116,2.13764285185583,0.602,0.198,1.94139336292826e-111
"RPL21",1.67086913539276e-114,-1.37523309851428,0.618,0.833,5.53241479419898e-110
"C3",9.78658810677505e-114,2.04900348775424,0.526,0.127,3.24043718803429e-109
"GBP5",2.32852997286716e-113,2.87849869388055,0.442,0.08,7.70999559316047e-109
"LNCAROD",5.72347514552509e-108,2.00925662981987,0.537,0.147,1.89509985543481e-103
"RPS3A",6.65429844626621e-108,-1.33908898291697,0.705,0.876,2.20330475854321e-103
"HLA-A",1.06803226554821e-107,1.50727485110696,0.892,0.869,3.53636163445669e-103
"CAPG",3.7409234457536e-107,1.98130310108179,0.64,0.29,1.23865716212347e-102
"EPSTI1",4.00324876437224e-105,1.41458868315417,0.761,0.483,1.32551569837129e-100
"GBP1",5.26903881580614e-105,1.83062564841927,0.579,0.208,1.74463144230157e-100
"IFIH1",1.23110318611827e-103,1.98748115107418,0.526,0.152,4.07630575955621e-99
"RPS12",5.09922109504553e-103,-1.14728502381708,0.736,0.885,1.68840309678052e-98
"C15orf48",6.2351377320673e-103,2.53126264612711,0.541,0.173,2.0645164544648e-98
"ADAMDEC1",7.15182107101671e-103,4.83381993495566,0.322,0.025,2.36803947482434e-98
"RPL7",3.60241495664717e-102,-1.51986515719862,0.555,0.754,1.19279561629544e-97
"IFITM1",1.63027538969202e-100,2.61739794354945,0.54,0.206,5.39800484280926e-96
"RGS1",5.99004493705108e-100,1.26457569421672,0.718,0.307,1.98336377910698e-95
"FHAD1",2.24365458488776e-99,4.23348057319718,0.318,0.025,7.42896469602185e-95
"LILRB4",2.68219292852174e-97,1.84240257837921,0.577,0.224,8.88100900562832e-93
"FMNL2",8.69958369009515e-97,1.4100768992352,0.831,0.609,2.88051915562741e-92
"MCOLN2",1.40748322310733e-95,3.21760477920554,0.32,0.03,4.66031770003067e-91
"STAT1",1.34661467979375e-94,1.72984479628244,0.691,0.43,4.4587758662651e-90
"RPLP1",2.27556814607182e-93,-0.828972603829547,0.87,0.938,7.53463368845842e-89
"RSAD2",5.79156117368716e-93,2.50721867886856,0.4,0.082,1.91764382021956e-88
"MX1",1.87178443167645e-92,1.79079866678025,0.621,0.285,6.19766543172389e-88
"LAG3",3.060319129498e-92,5.58090837743672,0.265,0.009,1.01330226696808e-87
"RPL9",3.60222995746647e-92,-1.01140936877936,0.712,0.873,1.19273436121672e-87
"RPS24",4.08568720364864e-92,-0.951715763459289,0.786,0.905,1.3528118900001e-87
"MMP14",2.01677069794533e-90,2.32046318372716,0.398,0.077,6.67772945796677e-86
"ADAM8",7.81262453514816e-90,2.79904334303666,0.37,0.063,2.58683810983291e-85
"CD74",8.14243176272028e-90,1.18256602003734,0.947,0.885,2.69604058095431e-85
"RNF213",4.00923746523051e-89,1.13935370338137,0.816,0.582,1.32749861711247e-84
"SLAMF8",5.09108898104039e-89,2.55689673086811,0.375,0.068,1.68571047251228e-84
"RPS27A",1.02614222158415e-87,-0.990088585439229,0.76,0.886,3.39765950988727e-83
"RPL6",1.51789633207077e-87,-1.10508007861232,0.675,0.831,5.02590654511953e-83
"HERC5",2.78063570147093e-87,2.37537315036446,0.389,0.078,9.2069628711404e-83
"AFF3",1.85261364009094e-86,-2.9899057974533,0.045,0.326,6.13418902370513e-82
"EEF1A1",3.19272293681676e-86,-0.794084657338732,0.928,0.946,1.0571424916094e-81
"TAP1",6.98222662620681e-85,2.04115984734889,0.451,0.133,2.31188505820334e-80
"RASSF4",2.31214401853256e-84,1.75529323482738,0.578,0.227,7.65574005976316e-80
"SLC30A4-AS1",2.60734616660978e-84,2.18671012922028,0.421,0.104,8.63318389226163e-80
"GBP4",5.5500760834182e-83,2.12538058253081,0.43,0.114,1.8376856919806e-78
"OPTN",7.53959127364919e-83,3.12574475488179,0.318,0.045,2.49643406661798e-78
"TNS3",2.82767739204808e-82,1.27827345139482,0.759,0.475,9.36272261281041e-78
"IFIT3",3.00365778241058e-81,2.35874274692184,0.472,0.159,9.94541128333968e-77
"NR1H3",9.52605509793839e-81,2.44959593587199,0.345,0.062,3.15417210347838e-76
"IGHG3",7.02256238573197e-80,6.20491435930963,0.225,0.004,2.32524063153971e-75
"CD38",1.06091586000032e-79,2.40902191597982,0.401,0.103,3.51279850404705e-75
"IGHG1",1.10153477103769e-79,5.63571700346132,0.238,0.009,3.64729178038288e-75
"MRC2",5.48772622182228e-79,2.46809801341161,0.349,0.068,1.81704102930757e-74
"AMPD3",8.09652015162229e-79,1.97218241038545,0.523,0.189,2.68083878740365e-74
"ATP2B1",9.38457947496234e-79,-1.83972202414952,0.604,0.78,3.10732810995478e-74
"ENSG00000227531",2.3972006332324e-78,3.09576162014011,0.289,0.035,7.93737101669579e-74
"IFIT1",2.81309712963372e-78,2.32633291982735,0.408,0.106,9.31444590593019e-74
"ACTG1",3.44889671790575e-78,-1.13745560314097,0.685,0.837,1.14196419226577e-73
"CXCL11",5.52144502813447e-78,6.95200612926272,0.222,0.005,1.8282056632656e-73
"ADAM28",3.03579714917879e-77,1.48903441070229,0.559,0.205,1.00518279406459e-72
"LGALS3BP",3.5085883210549e-77,1.68967836284818,0.547,0.244,1.16172867898449e-72
"RPS23",5.29424140796435e-77,-0.928085601687518,0.733,0.893,1.75297627259108e-72
"RPL18A",6.26470892904578e-77,-0.955531514249428,0.753,0.874,2.07430777349635e-72
"RPL26",6.80480430828077e-77,-1.03186104236159,0.731,0.874,2.25313875451485e-72
"TIMP1",1.02144916520488e-76,-2.30356791275606,0.492,0.691,3.38212033090989e-72
"RPL32",5.43267079859095e-76,-0.876830522761762,0.795,0.898,1.79881162812145e-71
"MMP9",1.0239362574153e-75,3.94664333790722,0.283,0.037,3.39035534192781e-71
"C1orf21",2.30422683284402e-75,3.3004838627888,0.313,0.055,7.62952546622985e-71
"AIM2",2.63526643958372e-75,3.52423871282987,0.255,0.021,8.72563070810565e-71
"EIF1",8.91158989464559e-75,-0.892109414495116,0.763,0.861,2.9507165300161e-70
"WFDC2",9.38867173970281e-75,7.33815654090007,0.205,0.001,3.108683099733e-70
"TGM2",1.96694901220275e-74,2.51096979604482,0.297,0.042,6.51276487430453e-70
"LIMK2",3.32019743259581e-74,1.80450512672372,0.432,0.122,1.0993505719068e-69
"IFI44L",5.85754775171651e-74,1.1978849244052,0.639,0.301,1.93949263607085e-69
"RPL34",1.18701867914873e-73,-0.924285994794776,0.736,0.873,3.93033754852937e-69
"RPS13",1.78607918711912e-73,-1.02760525977211,0.676,0.83,5.91388679647012e-69
"RPS8",3.22803044095857e-73,-1.06825841508584,0.712,0.851,1.06883315930579e-68
"HAPLN3",1.20366716670111e-72,3.5105463465615,0.225,0.011,3.98546235566403e-68
"MRC1",1.81752503610484e-72,-2.56984681307499,0.262,0.527,6.01800714704674e-68
"FCN1",2.79533002305866e-72,-2.76558258677805,0.123,0.398,9.25561723934954e-68
"RPL17",4.84547236708131e-72,-0.952652748950306,0.706,0.871,1.60438435546429e-67
"PABPC1",1.8999735570161e-71,-1.01961742803314,0.699,0.805,6.29100244463602e-67
"THBS1",2.09387016591379e-71,-4.7847773464754,0.013,0.23,6.93301350635716e-67
"RPS6",4.44628379697733e-71,-0.981195952869005,0.738,0.863,1.47220902801716e-66
"ATF5",6.75841406662623e-71,1.60215638467925,0.442,0.14,2.23777848160061e-66
"USP18",1.51910937426925e-70,2.78902953293408,0.265,0.031,5.02992304914293e-66
"TPD52",2.37154720667044e-70,2.10056057972687,0.308,0.052,7.85242995600649e-66
"IL21R",2.46201030330794e-70,2.69220852505935,0.281,0.04,8.15196231528291e-66
"TMEM176B",4.35072579036367e-70,1.59712823139319,0.606,0.328,1.44056881644732e-65
"VASH1",6.41435534276849e-70,1.8929069597536,0.403,0.116,2.12385719754408e-65
"MGAT4A",1.15097917149312e-69,1.19826631240536,0.676,0.355,3.81100713473088e-65
"RPL23",1.22941727112838e-69,-1.05776620265924,0.627,0.778,4.07072352643319e-65
"RHOH",1.46297708831259e-69,2.60804236177403,0.326,0.068,4.84406343711181e-65
"RPS10",3.18494518931144e-69,-1.03744989339475,0.669,0.831,1.05456720163291e-64
"ENSG00000289901",2.79020289944761e-68,1.18195137775432,0.802,0.486,9.23864082036097e-64
"ISG20",3.58207963976483e-68,2.13242239034854,0.373,0.098,1.18606238952253e-63
"PFDN5",5.64889629044507e-68,-0.950806941472121,0.67,0.819,1.87040605072927e-63
"KCNQ3",9.95580624205237e-68,3.49939135590292,0.265,0.038,3.29646700480596e-63
"TFEC",7.26933847961079e-67,1.48378581318743,0.67,0.411,2.40695066398393e-62
"CFB",1.68903999979807e-66,3.68339720593887,0.212,0.012,5.5925803433314e-62
"VOPP1",2.81327114307318e-66,1.39943272067637,0.598,0.301,9.31502208182961e-62
"KIFC3",3.85469450909056e-66,1.81274223085882,0.346,0.078,1.27632789890498e-61
"CCND1",3.88786086732038e-66,1.70865927312365,0.342,0.077,1.28730961177845e-61
"DENND3",1.10105701102404e-65,1.69793590798633,0.515,0.201,3.64570986920169e-61
"CD82",1.86460285091007e-65,2.24974592982173,0.341,0.084,6.17388649964834e-61
"CFP",3.0659407097852e-65,-4.83961952618414,0.011,0.21,1.01516362841698e-60
"CD40",5.1918369854854e-65,1.90911701892344,0.357,0.093,1.71906914426407e-60
"IGHA1",1.21069247625976e-64,6.94336828669837,0.187,0.004,4.00872385814369e-60
"RPL27",7.07178894528293e-64,-1.07933500295177,0.56,0.752,2.34154003767263e-59
"CD80",7.88837708550721e-64,2.68024962808151,0.264,0.04,2.61192053678229e-59
"TBC1D2B",1.12253442695884e-63,1.4091140005004,0.475,0.173,3.71682374110342e-59
"RPS16",1.36246959467435e-63,-0.962001559081543,0.751,0.861,4.51127307492624e-59
"USP6NL",1.53266097001238e-63,1.43051143520683,0.513,0.207,5.07479373780798e-59
"ENSG00000285744",1.79629425516098e-63,1.85367903168054,0.258,0.037,5.94770990826352e-59
"IFIT2",2.86040785010039e-63,1.85305020868639,0.399,0.123,9.47109643246741e-59
"IFI6",3.20619177247772e-63,1.8777297687039,0.522,0.271,1.0616021577851e-58
"EPHB2",1.29646754019763e-62,1.62679053153977,0.367,0.1,4.29273367234837e-58
"C2",1.88659284232388e-62,1.77728255747507,0.425,0.155,6.24669756021861e-58
"RPL10",3.77332469579246e-62,-0.852201804256353,0.891,0.92,1.24938554002384e-57
"MMP2-AS1",5.80899509336267e-62,1.95514060335984,0.34,0.085,1.92341636536331e-57
"SIPA1L1",6.89492033271062e-62,-1.60601192332569,0.705,0.792,2.28297707136381e-57
"ARHGEF3",8.73397812490557e-62,1.47807525868064,0.463,0.177,2.89190749693748e-57
"SOCS1",1.17454697530641e-61,2.86484559789444,0.213,0.019,3.88904248993704e-57
"SLC2A5",1.6589464516448e-61,1.9034637869751,0.333,0.082,5.49293759604111e-57
"SLAMF7",1.76460020180764e-61,1.70042529082253,0.368,0.103,5.84276772820528e-57
"IL15RA",1.93018320682474e-61,1.82482068745366,0.311,0.065,6.39102961611741e-57
"GPR141",2.46053064229896e-61,1.51202183426379,0.488,0.195,8.14706300971607e-57
"NUB1",2.82398010368072e-61,1.73013923551835,0.43,0.15,9.35048052129723e-57
"RPL30",4.01580624884857e-61,-0.878734482564933,0.74,0.871,1.32967360705625e-56
"SPATS2L",6.50772710252679e-61,1.28408809944191,0.588,0.284,2.15477352091765e-56
"ISG15",8.54686705146334e-61,1.8046791957314,0.663,0.46,2.82995314941003e-56
"SDC2",1.30551581102068e-60,-3.17123293931908,0.056,0.28,4.32269340187056e-56
"RPS9",1.54292241337256e-60,-0.871292994136477,0.755,0.865,5.10877040291789e-56
"RPLP2",1.9416435143709e-60,-0.676603868189601,0.771,0.88,6.4289758404335e-56
"DENND1B",3.44952814346844e-60,1.33624617121018,0.602,0.307,1.14217326358383e-55
"COLEC12",4.43311534849238e-60,-2.66887592040717,0.139,0.384,1.46784882303931e-55
"SNX10",6.68031923475602e-60,1.41651043722992,0.608,0.364,2.21192050182007e-55
