"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HLA-DRB6",0,-6.32082406756585,0.015,0.558,0
"PID1",0,-3.88308635772373,0.081,0.578,0
"APOE",1.43315060581336e-303,2.77085321656936,0.815,0.318,4.74530497090861e-299
"S100A9",2.68680494439786e-249,-3.41959678252762,0.2,0.629,8.89627985139575e-245
"APOC1",7.42221057014362e-236,2.49561084370952,0.71,0.226,2.45756814188025e-231
"IGKC",4.94692656915966e-230,5.07929635847724,0.513,0.025,1.63797685631446e-225
"KCNMA1",9.75302167282286e-207,3.91690262431636,0.558,0.108,3.22932300608838e-202
"SIPA1L1",3.92665339994328e-203,-2.29696784246357,0.44,0.792,1.30015420725522e-198
"HLA-DQA2",4.9270659638512e-199,-3.04756316472105,0.058,0.387,1.63140081129077e-194
"CD36",1.14539405322555e-194,-3.07914934208417,0.063,0.39,3.79251424963513e-190
"THBS1",8.59421385328196e-188,-7.23211367759161,0.004,0.23,2.84563014896019e-183
"FCN1",3.69823484270093e-187,-3.11241012132007,0.071,0.398,1.2245225387667e-182
"FMNL2",1.39991821006504e-186,1.74829052084306,0.869,0.609,4.63526918534636e-182
"TIMP1",2.6867899958433e-177,-2.92778354498252,0.353,0.691,8.89623035523675e-173
"SDC2",4.27772127474175e-169,-3.63032102363978,0.026,0.28,1.41639629127974e-164
"LYVE1",9.20349740072574e-163,-3.19140596245722,0.063,0.353,3.0473700243543e-158
"ATP2B1",4.06016994388228e-158,-2.05821523270662,0.449,0.78,1.34436287011886e-153
"EIF1",1.49951717814034e-156,-1.1810215803169,0.631,0.861,4.96505132854049e-152
"MMP9",6.21413448002891e-150,5.60329231043386,0.395,0.037,2.05756206768237e-145
"ZFP36",1.54441637273199e-148,-1.68607128602279,0.493,0.779,5.11371705175288e-144
"RPL21",5.69131884327897e-148,-1.23533924521113,0.546,0.833,1.8844525821981e-143
"CAPG",4.1913466945742e-145,2.22832268909155,0.608,0.29,1.38779680404046e-140
"CFP",3.43523209672083e-143,-4.34463137304951,0.013,0.21,1.13743969954524e-138
"RPS3A",1.28787293071287e-140,-1.180983971733,0.614,0.876,4.2642760608834e-136
"TPT1",2.80798593324903e-140,-0.864802799327926,0.862,0.946,9.29752222358086e-136
"TNS3",4.54297779998097e-138,1.73194978160446,0.732,0.475,1.5042253793517e-133
"SVIL",2.53207206288367e-137,-2.66588827292683,0.05,0.297,8.38394380741413e-133
"PFDN5",1.67942017947971e-135,-1.17251590646905,0.527,0.819,5.56072815627527e-131
"RPL7",3.0045941621946e-135,-1.26244887179486,0.456,0.754,9.94851173044253e-131
"RPL9",1.20320337363952e-134,-1.00822239138958,0.628,0.873,3.98392669045782e-130
"IFI27",2.97762486669099e-134,2.5765546418859,0.521,0.158,9.85921369610054e-130
"SPP1",2.06058303118876e-133,2.31522090643372,0.578,0.205,6.82279647456912e-129
"MS4A7",3.56611040692774e-133,-1.33891111949654,0.378,0.718,1.18077481683784e-128
"TFEC",4.65462693817943e-131,2.34184827766357,0.666,0.411,1.54119352550059e-126
"LNCAROD",2.10442401205467e-129,2.34382774201391,0.502,0.147,6.96795834631423e-125
"CLEC10A",2.65545419390361e-128,-3.14781500660353,0.049,0.282,8.79247438143423e-124
"HLA-DQA1",1.78413947668592e-127,2.29945794170683,0.664,0.457,5.90746422125474e-123
"DLEU1",3.50026503763737e-126,2.16263755693172,0.596,0.279,1.15897275661211e-121
"VCAN",5.16272547510938e-126,-2.87017229995588,0.108,0.382,1.70943003206347e-121
"RPS24",1.54803350325561e-125,-0.919580260643635,0.716,0.905,5.12569373262964e-121
