"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IFI27",1.17273443375457e-230,4.01559767469557,0.779,0.158,3.88304098360477e-226
"SPP1",5.15170973803871e-199,3.55702756570426,0.792,0.205,1.705782611362e-194
"APOE",2.94917402210553e-180,2.46793273267669,0.842,0.318,9.76501010459361e-176
"ENSG00000249001",7.60170171008703e-179,4.66546996279959,0.538,0.037,2.51699945322692e-174
"HLA-DRB5",3.56479801277096e-164,3.95083300718014,0.665,0.196,1.18034027000859e-159
"NUPR1",4.0801309128722e-162,4.65247671272209,0.576,0.093,1.35097214656111e-157
"HLA-DRB6",1.40779853308959e-156,-8.93952294096192,0.002,0.558,4.66136172291294e-152
"PID1",9.04175735707061e-144,-5.33675724473748,0.044,0.578,2.99381627849965e-139
"WFDC2",1.6317722020815e-121,8.68019702437316,0.327,0.001,5.40296093831206e-117
"GAPDH",1.14136787520388e-111,2.19059011385462,0.898,0.785,3.77918317158757e-107
"RGS1",3.99352844188234e-102,1.70617441257862,0.725,0.307,1.32229720239166e-97
"FCN1",4.24265142605204e-94,-5.43129155361893,0.015,0.398,1.40478431368009e-89
"GAS7",7.94847581793287e-94,-2.12654776285038,0.275,0.683,2.63181982807575e-89
"SLC2A1",4.61681800427849e-91,6.35157960434063,0.296,0.02,1.52867460939665e-86
"SLC16A10",3.84043920020278e-90,1.41392602618903,0.795,0.366,1.27160782357914e-85
"PRKCB",4.37437806251401e-90,-1.8761659786206,0.191,0.624,1.44840032027901e-85
"KCNQ3",9.53894553788004e-90,3.79037582649961,0.338,0.038,3.15844025704746e-85
"HLA-DRB1",1.043491412839e-89,1.52301433456942,0.84,0.703,3.45510441705122e-85
"FNDC3B",6.80201655086203e-89,1.53521726336405,0.894,0.729,2.25221570015593e-84
"CAPG",1.77955631380528e-87,2.15726940590245,0.614,0.29,5.89228891064066e-83
"LGALS3BP",2.69359901406362e-87,2.25776257966007,0.581,0.244,8.91877569546604e-83
"APOC1",5.86094333252679e-87,1.70729323107053,0.614,0.226,1.94061694683294e-82
"LAPTM5",2.236793509655e-86,1.30670680712532,0.842,0.754,7.40624698981868e-82
"FGD4",4.0799761656519e-86,-1.74700767117461,0.329,0.732,1.350920908209e-81
"HLA-A",8.23268123584371e-86,1.13351673872989,0.895,0.869,2.72592308400021e-81
"GPNMB",1.839371323969e-80,1.4306617520398,0.706,0.329,6.09034239079376e-76
"FMNL2",7.73021973082772e-79,1.35837296544208,0.847,0.609,2.55955305507437e-74
"HLA-DQA2",1.52736208030447e-77,-4.19930154395331,0.042,0.387,5.05724858409613e-73
"LYVE1",5.06622346945842e-77,-5.62556931489825,0.021,0.353,1.67747725297238e-72
"ADAM8",3.93339182382645e-76,3.40082222977132,0.346,0.063,1.30238536678718e-71
"AFF3",4.00123760509281e-75,-6.10990498332661,0.008,0.326,1.32484978342228e-70
"MMP14",1.39922819145498e-73,3.1047995586275,0.361,0.077,4.63298446472659e-69
"CD36",1.95007669379358e-73,-2.48870159268037,0.048,0.39,6.45689894081993e-69
"LST1",3.14113107160191e-70,-2.40251738082395,0.267,0.625,1.04005990911811e-65
"TPT1",1.11200492777312e-69,-0.830041325779883,0.878,0.946,3.68195951634956e-65
"EEF1A1",1.93258476798651e-68,-0.850378289348757,0.87,0.946,6.39898142528015e-64
"PTPRM",5.30720461269565e-68,2.62013381760762,0.491,0.2,1.75726851930966e-63
"ISG15",6.39221403706938e-68,2.10643755984947,0.697,0.46,2.11652598981404e-63
"PLTP",1.60807424117079e-67,1.65951876994172,0.532,0.22,5.3244946199406e-63
"ADM",2.65216909150612e-67,4.19074409955045,0.293,0.047,8.78159707888591e-63
"RPL21",5.82727185417543e-67,-1.17817357216048,0.617,0.833,1.92946798363603e-62
"CD55",9.50809367895288e-67,-2.8046034079404,0.106,0.444,3.14822489803809e-62
"IGSF21",1.52336732347626e-66,3.08420695411546,0.314,0.058,5.04402154476226e-62
"CLEC10A",1.79481972860243e-66,-8.35538339636826,0.001,0.282,5.94282760337551e-62
"FN1",3.11017216279199e-66,2.21090678335417,0.465,0.155,1.02980910482205e-61
"RPL7",2.20627076930688e-65,-1.2666364622389,0.505,0.754,7.305183144252e-61
"HIF1A-AS3",5.67716490306361e-65,2.76632123207658,0.46,0.168,1.87976607105339e-60
"LYZ",6.35910870977956e-65,-1.86958301550487,0.468,0.746,2.10556448489511e-60
"TIMP1",5.10728349465366e-64,-2.26880824741725,0.402,0.691,1.69107263791477e-59
"PDE3B",1.05744982724068e-63,-2.87043906645717,0.052,0.365,3.50132212297661e-59
"SIPA1L1",1.87504723267675e-63,-1.71417049289769,0.535,0.792,6.20846889211599e-59
"BNIP3",3.01295018298808e-63,3.45166231418072,0.374,0.112,9.97617935089184e-59
"ARHGAP26",5.38963682361047e-63,-1.31338209662615,0.586,0.832,1.78456264866566e-58
"RPS24",6.10881849395444e-63,-0.891141028183427,0.769,0.905,2.02269089153325e-58
"KLF2",7.20742123945842e-63,-2.12603277826531,0.172,0.515,2.38644924659708e-58
"LNCAROD",1.53117019845908e-62,2.19008444460311,0.443,0.147,5.06985764411787e-58
"RAI14",8.299472482977e-62,5.26158393109489,0.236,0.027,2.74803833383851e-57
"IRAK3",1.2237284090142e-61,-1.87123693213116,0.23,0.57,4.05188713508691e-57
"IQGAP2",1.50471019928711e-61,-1.4291484951977,0.381,0.701,4.98224594085955e-57
"ZEB2",2.21239808081609e-61,-1.02377936891664,0.762,0.917,7.32547128539016e-57
"S100A9",4.25564293196925e-61,-2.53482406707937,0.342,0.629,1.40908593120434e-56
"TNS3",8.07325401360332e-61,1.59773964884924,0.709,0.475,2.6731351364442e-56
"HDAC9",9.34683589126854e-61,-2.34030625463102,0.146,0.47,3.09483083195793e-56
"ABCA1",1.19929510895414e-60,1.35638799028946,0.755,0.472,3.97098603525804e-56
"PABPC1",1.48322923691904e-59,-1.07261826139519,0.569,0.805,4.91112032636262e-55
"MT-CO3",6.28846907223544e-59,-0.603364436677461,0.933,0.993,2.08217499450788e-54
"SLC2A5",1.02810515368211e-58,2.76095899419655,0.33,0.082,3.40415897435685e-54
"HTRA1",6.65129917693225e-58,2.69284758365526,0.395,0.133,2.20231167047404e-53
"RPS3A",1.69428496530408e-57,-1.04616608839384,0.673,0.876,5.60994694861835e-53
"ATP2B1",2.27193809211389e-57,-1.69176893392249,0.5,0.78,7.52261421679829e-53
"C5AR1",3.33387732814896e-57,-1.51533322039048,0.32,0.637,1.1038801221234e-52
"TBXAS1",8.27066837363775e-57,-1.41725506884056,0.365,0.688,2.7385010051952e-52
"ZFP36",1.02959930941911e-56,-1.36024868223266,0.531,0.779,3.40910627341761e-52
"TANC2",1.41222715393732e-56,1.80979808978049,0.626,0.38,4.67602532940186e-52
"EEF1B2",5.20905167413957e-56,-1.42430416080857,0.406,0.68,1.72476909982435e-51
"KCNMA1",5.27079488249511e-56,2.21064178201542,0.369,0.108,1.74521289354296e-51
"AOAH",7.71742388884749e-56,-1.92267199963153,0.243,0.552,2.55531622383629e-51
"RPL9",8.16455293604244e-56,-0.898354510208399,0.683,0.873,2.70336512265301e-51
"AMPD3",1.94752594713711e-55,2.57067229415892,0.448,0.189,6.44845316356568e-51
"RPL26",2.70595499933877e-55,-0.996548502975884,0.684,0.874,8.95968759831061e-51
"MT-CO2",2.19494805412029e-54,-0.582352669075567,0.921,0.996,7.26769250199769e-50
"CD81",5.85731474147947e-54,1.48697028807482,0.691,0.507,1.93941548405127e-49
"SLC43A2",6.15902745550858e-54,-1.85344085497953,0.181,0.498,2.03931558079345e-49
"RPS12",1.09762264684738e-53,-0.888501198981285,0.776,0.885,3.63433834597638e-49
"RPS23",2.11712697326872e-53,-0.8939958946057,0.735,0.893,7.01001912119007e-49
"FGR",2.6901659052754e-53,-2.64725630359163,0.06,0.339,8.90740832895738e-49
"ABCG1",2.79823646268055e-53,3.02105952620428,0.329,0.095,9.26524075158158e-49
"MT-CYB",5.43246356788145e-53,-0.544064124931023,0.885,0.987,1.79874301196123e-48
"CHN2",9.76104848428267e-53,-1.19223758179425,0.344,0.684,3.23198076363084e-48
"FRY",2.51664545130959e-52,-4.77830050535515,0.018,0.261,8.33286475383119e-48
"C1orf162",3.18123134854922e-52,-1.41642596183268,0.302,0.618,1.05333751181813e-47
"ADGRE5",4.65489799412275e-52,-2.27253033046431,0.135,0.432,1.54128327483398e-47
"FGD5",4.74647016799122e-52,5.12818708185228,0.179,0.012,1.57160373732357e-47
"CTSD",5.10953190509928e-52,0.541544938207112,0.86,0.641,1.69181710909742e-47
"CLEC12A",5.13905684997719e-52,-5.10132406254286,0.015,0.253,1.70159311359595e-47
"JAML",1.08228402255811e-51,-3.80036226611146,0.027,0.276,3.58355062709215e-47
"IGFBP2",1.34168560655654e-51,2.37147758269926,0.314,0.077,4.44245521186936e-47
"ZEB1",1.52438639329246e-51,3.6824422851616,0.262,0.053,5.04739578683065e-47
"JARID2",2.05608158023641e-51,-1.58718382302308,0.417,0.69,6.80789172032077e-47
"CD52",2.15030624790664e-51,-3.37182826573012,0.063,0.328,7.11987901744369e-47
"MMP9",1.23952093860469e-50,5.05945605874534,0.229,0.037,4.10417777981398e-46
"RPL6",1.90516818843672e-50,-0.90739376855541,0.631,0.831,6.30820238873283e-46
"RPS13",1.99039359589803e-50,-0.97641068294404,0.658,0.83,6.59039223537796e-46
"MIF",2.28689846931857e-50,1.83232584532082,0.717,0.592,7.5721495217607e-46
"RALA",4.40033366607087e-50,2.0897497703185,0.56,0.343,1.45699448017273e-45
"ENO2",4.81701623775128e-50,5.33019805978613,0.173,0.012,1.59496224648183e-45
"CYRIA",6.17641836424165e-50,-1.59234443184654,0.219,0.533,2.04507388458405e-45
"RPS6",2.14537184551158e-49,-0.906127522630964,0.678,0.863,7.1035407176734e-45
"RPS9",2.57857395493183e-49,-0.907657976636845,0.717,0.865,8.5379162221748e-45
"RPL34",3.85150145592695e-49,-0.877972640778842,0.718,0.873,1.27527064707197e-44
"CSTB",4.21939252955728e-49,2.19381530741417,0.733,0.625,1.39708306046171e-44
"RPL13",5.17562305826731e-49,-0.673986268854275,0.853,0.951,1.71370055082289e-44
"PLAU",9.01209094391755e-49,2.05990970968163,0.446,0.199,2.98399343244054e-44
"HLA-DQB1",1.55682271145669e-48,1.25531050842506,0.701,0.521,5.15479567990425e-44
"C15orf48",1.68654252829971e-48,2.44243309274105,0.417,0.173,5.58431096545316e-44
"CPVL",2.41476513359275e-48,-1.20797882480128,0.348,0.662,7.99552883383896e-44
"MMP11",2.92819481989949e-48,10.0689731954489,0.135,0,9.69554586816921e-44
"IFITM1",1.80294524209993e-47,2.04161546265472,0.456,0.206,5.96973199111708e-43
"ARL4C",2.16758031366588e-47,1.94565022341012,0.469,0.226,7.1770751765791e-43
"RIPOR2",2.3138147483114e-47,-5.16450125365805,0.023,0.247,7.66127201313388e-43
"MT-ND3",2.50105366852323e-47,-0.547633152232481,0.885,0.991,8.28123880184727e-43
"MS4A7",3.82832104769357e-47,-1.01078570050708,0.416,0.718,1.26759538210182e-42
"MT-ND4",5.2232996582219e-47,-0.509047177758699,0.922,0.991,1.72948674983385e-42
"CFP",6.18938066960784e-47,-7.16183616444325,0.002,0.21,2.04936583351385e-42
"SMAP2",8.63525017123434e-47,-1.68698346162379,0.259,0.555,2.8592176841974e-42
"SVIL",3.45026042128142e-46,-2.9836019920628,0.053,0.297,1.14241572809049e-41
"PSD3",3.52443626871316e-46,1.33503864307826,0.593,0.345,1.16697609293362e-41
"NEDD9",5.30527449572155e-46,-2.12143802697958,0.12,0.392,1.75662943827836e-41
"XYLT1",5.76230226359995e-46,-2.24203352026599,0.118,0.386,1.90795590250058e-41
"PTTG1IP",6.11069945144517e-46,1.98665389242081,0.515,0.301,2.02331369536801e-41
"RPS8",8.66423300720536e-46,-0.948847623958168,0.684,0.851,2.86881419101577e-41
"RPL18A",1.23587133789289e-45,-0.775308768433463,0.718,0.874,4.09209358689716e-41
"RPL39",1.38971632897295e-45,-0.746825155060985,0.762,0.877,4.60148973686233e-41
"SLC30A4-AS1",1.52902658796202e-45,2.81788027330364,0.325,0.104,5.06275993540104e-41
"AIF1",6.63870100323044e-45,-1.02919642909784,0.572,0.813,2.19814028917963e-40
