"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000248515",0,6.6511393313547,0.922,0.012,0
"WFDC2",0,7.49861461729496,0.934,0.03,0
"RHEX",0,6.78589006399454,0.897,0.013,0
"MECOM",0,7.37896095878847,0.927,0.066,0
"CLDN4",0,6.54280525507623,0.875,0.017,0
"ST6GAL1",0,5.85323311510821,0.917,0.067,0
"ELF3",0,6.44437180631873,0.862,0.012,0
"TNFAIP2",0,6.12542553487639,0.887,0.048,0
"SAMD12",0,5.02256308802304,0.896,0.066,0
"DCN",0,-9.4879947161799,0.01,0.835,0
"MAL2",0,5.35043969556412,0.827,0.022,0
"SPARC",0,-5.28088324545805,0.048,0.845,0
"MUC1",0,5.61775344289047,0.854,0.058,0
"EYA2",0,6.80913824906027,0.822,0.026,0
"S100A1",0,6.81219298143264,0.802,0.008,0
"EPCAM",0,5.39917978033224,0.847,0.053,0
"CD74",0,5.76986216654955,0.929,0.137,0
"MEG3",0,-7.65818378989517,0.01,0.799,0
"CP",0,5.59355781372882,0.799,0.013,0
"PAX8",0,5.61693681465095,0.819,0.033,0
"MUC16",0,5.73052824950575,0.807,0.023,0
"HLA-DRA",0,5.56811411730331,0.846,0.064,0
"SLC34A2",0,7.40802798209712,0.786,0.011,0
"MSLN",0,4.46461814559961,0.799,0.027,0
"KRT8",0,3.95333326614655,0.848,0.09,0
"STXBP6",0,5.97917699936999,0.79,0.032,0
"RBM47",0,4.44372768569959,0.887,0.131,0
"CLDN3",0,5.13882574023468,0.779,0.023,0
"COL1A1",0,-6.22556668956005,0.073,0.824,0
"RHOBTB3",0,-6.84071127212267,0.034,0.783,0
"COL6A3",0,-6.08038084484941,0.018,0.766,0
"ESRP1",0,7.20002603670441,0.758,0.012,0
"ESRRG",0,7.4806511292648,0.764,0.019,0
"COL3A1",0,-5.95050503230822,0.023,0.768,0
"SCNN1A",0,6.42349136228593,0.765,0.021,0
"SLPI",0,3.44675962333113,0.772,0.028,0
"EHF",0,6.27857145900652,0.741,0.008,0
"CD24",0,6.87176039489164,0.747,0.018,0
"COL6A2",0,-4.98770998365388,0.129,0.855,0
"KRT18",0,3.35540684030763,0.875,0.152,0
"CHI3L1",0,5.79073289414065,0.741,0.023,0
"LINC02672",0,9.22740203188372,0.722,0.004,0
"LYPD6B",0,6.83098183259735,0.73,0.015,0
"LCN2",0,7.1990284396143,0.722,0.008,0
