"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WFDC2",0,7.90831679746207,0.869,0.03,0
"RHEX",0,7.08508167168925,0.839,0.013,0
"ENSG00000248515",0,6.19325507527376,0.792,0.012,0
"DCN",0,-4.50932451394653,0.072,0.835,0
"SLPI",0,4.79104669271731,0.788,0.028,0
"MEG3",0,-5.1694447613996,0.044,0.799,0
"UGT2B7",0,6.40273747073796,0.758,0.009,0
"NRG3",0,6.82486176977869,0.762,0.018,0
"CLDN3",0,5.5905867540169,0.766,0.023,0
"EYA2",0,6.87322877720236,0.751,0.026,0
"CLDN4",0,5.43986252890803,0.737,0.017,0
"MECOM",0,6.42744260656792,0.781,0.066,0
"ENSG00000286546",0,10.9085067185355,0.716,0.004,0
"CERNA2",0,9.0999190245095,0.713,0.004,0
"CHODL",0,5.45670965637285,0.742,0.039,0
"COL6A2",0,-2.89309623661489,0.159,0.855,0
"RHOBTB3",0,-4.30278275422904,0.089,0.783,0
"RBMS3",0,-2.57837608595096,0.196,0.889,0
"ELF3",0,5.91365267373804,0.702,0.012,0
"MUC1",0,4.89363276976323,0.745,0.058,0
"ERBB4",0,4.8973069025193,0.772,0.086,0
"ADAMTS9-AS2",0,-4.27433537080116,0.059,0.741,0
"VIM",0,-3.18515269555851,0.3,0.98,0
"EHF",0,6.7031112374757,0.687,0.008,0
"SCGB2A1",0,7.80912847445954,0.685,0.006,0
"LINC02672",0,9.09626360975298,0.672,0.004,0
"COL6A3",0,-2.77751043802277,0.107,0.766,0
"PEG3",0,-5.41947808683128,0.048,0.706,0
"KRT8",0,3.73417369805319,0.746,0.09,0
"HLA-DRB1",0,6.23363207384834,0.708,0.053,0
"CD24",0,6.7529163392575,0.672,0.018,0
"CP",0,5.18702424264204,0.665,0.013,0
"IGFBP4",0,-3.36414583075224,0.133,0.785,0
"LINC00511",0,6.77305832522952,0.662,0.013,0
"DAPL1",0,7.22589593253891,0.673,0.028,0
"COL1A2",0,-2.83122371363112,0.203,0.847,0
"KRT18",0,3.03780083800685,0.794,0.152,0
"GPC6",0,-3.42516983860798,0.094,0.734,0
"GRHL2",0,6.37431449940789,0.651,0.012,0
"UCP2",0,6.4891051660306,0.67,0.032,0
"MUC16",0,5.47391458932603,0.659,0.023,0
"HLA-DRA",0,5.01399323938496,0.699,0.064,0
"C7",0,-5.00064674973606,0.029,0.663,0
"PCAT1",0,4.39817928470312,0.697,0.065,0
"PAX8",0,4.92899592842646,0.661,0.033,0
"COL3A1",0,-2.73392386721619,0.14,0.768,0
"EPCAM",0,5.42724516614087,0.679,0.053,0
"ASRGL1",0,6.57056833784642,0.647,0.021,0
"SAMD12",0,3.76400635059596,0.692,0.066,0
"BNC2",0,-4.07876095791829,0.237,0.86,0
"BICC1",0,-3.6630574729743,0.091,0.712,0
"DSP",0,4.47267683442601,0.673,0.053,0
"RMST",0,8.77389655555369,0.625,0.005,0
"FBN1",0,-3.76206980797395,0.072,0.692,0
"S100A1",0,6.1953624465799,0.628,0.008,0
"COL1A1",0,-3.068538145897,0.205,0.824,0
"FOLR1",0,7.70977710133335,0.619,0.006,0
"CLDN7",0,5.28234253057269,0.633,0.021,0
"LINC02888",0,7.12525517784991,0.623,0.012,0
"MAL2",0,4.48223377536441,0.633,0.022,0
"ZEB2",0,-2.00454081403048,0.126,0.735,0
"MIR99AHG",0,-3.16721139216668,0.26,0.868,0
"ST6GAL1",0,4.14748259765313,0.674,0.067,0
"PDGFRA",0,-4.71620594537769,0.033,0.637,0
"CD74",0,4.26620748863888,0.741,0.137,0
"RBM47",0,3.50230915053957,0.73,0.131,0
"VAMP8",0,4.14719263308243,0.663,0.068,0
"KLK8",0,5.71836258542052,0.614,0.019,0
"C2orf88",0,4.89123311814853,0.665,0.072,0
"LAMA2",0,-4.16134078650828,0.116,0.705,0
"ESRP1",0,6.82129322728451,0.601,0.012,0
"NR2F2-AS1",0,-3.05873648845926,0.128,0.712,0
"TPD52",0,4.65150519376695,0.628,0.047,0
"ANTXR1",0,-2.24504658487513,0.121,0.701,0
"MROH1",0,3.69644126474419,0.688,0.11,0
"MSLN",0,3.36405085664644,0.605,0.027,0
"SMOC2",0,-3.41687535196677,0.063,0.64,0
"PSD3",0,-3.414017858865,0.173,0.748,0
"ST14",0,6.73929515199509,0.585,0.011,0
"PARD6B",0,4.72062465673746,0.614,0.041,0
"C11orf96",0,-3.99181459961953,0.1,0.671,0
"AFF3",0,-4.77937063672588,0.035,0.602,0
"EBF1",0,-1.65558396501147,0.096,0.661,0
"TSPAN5",0,-3.38566556384307,0.124,0.688,0
"TPM2",0,-2.61029703087,0.278,0.842,0
"CDH11",0,-2.84283555727623,0.14,0.704,0
"SHANK2",0,5.49737603849257,0.587,0.024,0
"LINC01876",0,2.90414215306696,0.711,0.149,0
"CFH",0,-2.83610541251557,0.081,0.637,0
"PHACTR1",0,3.60272893990539,0.708,0.152,0
"WWC1",0,3.65460350279855,0.678,0.13,0
"PATJ",0,2.93897955540843,0.775,0.229,0
"SPARC",0,-1.96083290271557,0.299,0.845,0
"ENSG00000287733",0,6.96993833147093,0.564,0.018,0
"CELF2",0,-3.22362650823002,0.141,0.684,0
"LLGL2",0,3.76022395892514,0.615,0.072,0
"STXBP6",0,5.12849045546891,0.575,0.032,0
"ZNF208",0,3.59177920891248,0.629,0.087,0
"SOX17",0,6.56823829631991,0.548,0.007,0
"TNFAIP2",0,4.20421918796716,0.589,0.048,0
"MPP7",0,3.70064333236296,0.601,0.061,0
"LAMA5",0,3.4552749603712,0.612,0.072,0
"GATA4",0,-3.94976494037316,0.026,0.564,0
"ANXA3",0,3.48034990751487,0.599,0.064,0
"DLC1",0,-1.45350513084947,0.13,0.664,0
"ST3GAL6",0,4.98510182353266,0.56,0.027,0
"FBXL7",0,-2.58485461759233,0.295,0.828,0
"CRABP2",0,3.23438428066471,0.648,0.117,0
"SCGB1D2",0,10.1235192716526,0.533,0.002,0
"STAR",0,-5.88951368997576,0.021,0.55,0
"KLK7",0,5.5065269956929,0.54,0.011,0
"MEG8",0,-5.48134526586141,0.025,0.553,0
"CDH1",0,3.52853227899555,0.577,0.051,0
"CFB",0,3.28155622395539,0.636,0.113,0
"OGN",0,-6.83377968977287,0.026,0.549,0
"LCN2",0,6.50257770930992,0.53,0.008,0
"AKT3",0,-2.21461662057145,0.215,0.733,0
"ARHGAP26",0,2.14263614301953,0.746,0.228,0
"PDE4D",0,3.62397748525664,0.631,0.114,0
"KIAA1217",0,2.98682601961824,0.825,0.308,0
"TC2N",0,4.20570667670454,0.568,0.051,0
"TEC",0,5.39228530067079,0.54,0.025,0
"CHD7",0,3.35265317375403,0.6,0.087,0
"LYPD1",0,6.31324450393927,0.525,0.013,0
"FLRT2",0,-4.02897417870818,0.032,0.544,0
"RGL3",0,3.27742580485068,0.588,0.076,0
"TPD52L1",0,3.34053986714798,0.589,0.078,0
"ENSG00000262198",0,9.12462104427542,0.518,0.007,0
"PTGS1",0,5.30435288012174,0.529,0.02,0
"LSAMP",0,-5.59497469499157,0.051,0.557,0
"CRIP1",0,1.13337388094485,0.658,0.153,0
"SKAP1",0,4.56874447907345,0.522,0.02,0
"GNG11",0,-3.01619102472443,0.081,0.582,0
"PKP2",0,3.06821140509266,0.653,0.152,0
"SORT1",0,2.94193345626519,0.57,0.069,0
"SOX6",0,2.6335385875368,0.606,0.106,0
"NPAS3",0,3.26823910749149,0.804,0.304,0
"ABHD11",0,3.81949519267085,0.568,0.068,0
"ENSG00000291065",0,3.63680123030582,0.562,0.063,0
"CXADR",0,3.84434282020768,0.544,0.045,0
"VTCN1",0,5.27059780132162,0.505,0.007,0
"LYPD6B",0,6.23788779170387,0.513,0.015,0
"RAB30-DT",0,2.60959935071683,0.658,0.161,0
"RBM38",0,3.29252859912892,0.6,0.103,0
"FAAH2",0,3.35205534171199,0.561,0.065,0
"KLF2",0,-4.23384004430925,0.133,0.628,0
"BCAM",0,2.27212459212938,0.624,0.129,0
"SERPINE2",0,-6.06285346645292,0.043,0.537,0
"PMP22",0,-3.5587049684014,0.071,0.565,0
"NBL1",0,-3.32273979239032,0.094,0.586,0
"AEBP1",0,-3.19865711386765,0.105,0.597,0
"COL5A1",0,-2.91399164451937,0.096,0.587,0
"SMAD1",0,2.6883503695462,0.625,0.135,0
"CADM1",0,3.05166186612871,0.614,0.124,0
"SCNN1A",0,4.97611725418194,0.511,0.021,0
"SFRP1",0,-5.77800183489454,0.026,0.515,0
"DDR1",0,3.3886991727084,0.568,0.079,0
"PAPSS2",0,-4.26803521846321,0.058,0.544,0
"TCF21",0,-5.51581301422325,0.022,0.508,0
"CA8",0,5.16213135519961,0.511,0.025,0
"LINC01285",0,8.24206560145187,0.49,0.005,0
"PPP1R16A",0,2.62593282399054,0.667,0.183,0
"FGFR2",0,3.32101670281288,0.547,0.063,0
"SHROOM3",0,3.40453271210242,0.556,0.075,0
"COL5A2",0,-1.91030290814308,0.157,0.637,0
"SYK",0,6.74400035346257,0.489,0.009,0
"ATP9A",0,2.36889648018203,0.696,0.216,0
"MAGI2",0,-3.36259885717511,0.174,0.653,0
"MAILR",0,2.64033450563496,0.666,0.188,0
