"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000248515",0,7.15189099136252,0.902,0.012,0
"MECOM",0,7.06120770382457,0.929,0.066,0
"SAMD12",0,5.96947936756454,0.923,0.066,0
"EYA2",0,7.7897571566465,0.833,0.026,0
"TACSTD2",0,6.76858776544295,0.827,0.024,0
"ELF3",0,6.67766500568095,0.811,0.012,0
"COL1A2",0,-5.80196109378256,0.054,0.847,0
"MAL2",0,6.05875386468891,0.813,0.022,0
"RHEX",0,5.37077648550726,0.8,0.013,0
"CLDN4",0,6.03436537604827,0.796,0.017,0
"KRT8",0,4.95639567892464,0.869,0.09,0
"EHF",0,7.28837380891123,0.785,0.008,0
"DCN",0,-6.19265733431787,0.058,0.835,0
"COL1A1",0,-6.21240352112315,0.064,0.824,0
"MEG3",0,-5.61254850279757,0.042,0.799,0
"WFDC2",0,6.61141914355712,0.785,0.03,0
"PCAT1",0,5.13721051007566,0.816,0.065,0
"PARD6B",0,6.02880613306907,0.791,0.041,0
"COL6A3",0,-6.24307944920437,0.017,0.766,0
"SPARC",0,-4.94675675882979,0.098,0.845,0
"RHOBTB3",0,-6.52935115131135,0.037,0.783,0
"RBMS3",0,-3.92793120090611,0.144,0.889,0
"COL3A1",0,-5.96785778351904,0.026,0.768,0
"KRT18",0,4.26772612472801,0.894,0.152,0
"CD74",0,5.3214801288397,0.878,0.137,0
"KRT7",0,4.66111937832894,0.769,0.035,0
"RBM47",0,4.77995250236074,0.863,0.131,0
"IGFBP4",0,-6.15163744720126,0.053,0.785,0
"MUC16",0,6.14782754929068,0.745,0.023,0
"ADAMTS9-AS2",0,-6.36137146445892,0.021,0.741,0
"BCAM",0,3.53350817300429,0.848,0.129,0
"NAV3",0,-6.90810733266713,0.048,0.763,0
"KLK7",0,7.09484161371073,0.715,0.011,0
"CDH11",0,-7.64059675932446,0.01,0.704,0
"PATJ",0,4.00470849708514,0.917,0.229,0
"ST14",0,7.81419545754851,0.698,0.011,0
"PEG3",0,-7.12495506515681,0.019,0.706,0
"S100A1",0,6.3144744110832,0.695,0.008,0
"PCDH7",0,3.79949227103089,0.855,0.169,0
"SCNN1A",0,6.42119328822899,0.706,0.021,0
"LAMA2",0,-5.42550991260726,0.022,0.705,0
"SHROOM3",0,5.14229153752425,0.756,0.075,0
"VIM",0,-5.74300254114016,0.299,0.98,0
"MSLN",0,3.83094169648091,0.708,0.027,0
"ST6GAL1",0,4.93942464643655,0.746,0.067,0
"MPP7",0,4.70453319264209,0.74,0.061,0
"FBN1",0,-6.78609156374733,0.013,0.692,0
"CHODL",0,5.65757422858962,0.716,0.039,0
"BICC1",0,-5.98164000526052,0.036,0.712,0
"SLPI",0,4.18213965822184,0.702,0.028,0
"FGFR2",0,4.76264685592262,0.735,0.063,0
"FBXL7",0,-4.0676209097721,0.158,0.828,0
"EPCAM",0,4.8322421803117,0.721,0.053,0
"WWC1",0,4.58121985246686,0.797,0.13,0
"GRHL2",0,6.62586483052986,0.679,0.012,0
"SDC4",0,4.82815811440703,0.785,0.12,0
"MUC1",0,4.6140512087831,0.721,0.058,0
"GPC6",0,-4.88011260054208,0.075,0.734,0
"C7",0,-8.43330298439948,0.005,0.663,0
"PAX8",0,5.64619493413053,0.687,0.033,0
"C11orf96",0,-7.25800704162352,0.017,0.671,0
"CDH1",0,4.56824132650802,0.702,0.051,0
"EBF1",0,-3.75729458475032,0.02,0.661,0
"KIAA1217",0,4.53367557554344,0.949,0.308,0
"SLC34A2",0,7.61938683441121,0.645,0.011,0
"IGF2BP2",0,3.81831286644752,0.769,0.136,0
"RHPN2",0,4.95332573524888,0.681,0.048,0
"EFNA5",0,3.34304697246164,0.794,0.162,0
"MROH1",0,4.09753846386125,0.742,0.11,0
"CLDN3",0,4.45337887174919,0.655,0.023,0
"HLA-DRA",0,4.25730234852332,0.696,0.064,0
"PDGFRA",0,-8.82905089954494,0.006,0.637,0
"PPP2R2B",0,6.2513039379862,0.653,0.024,0
"IGHG4",0,6.09157445795178,0.647,0.02,0
"FHIP1A",0,3.81762975987409,0.713,0.09,0
"EPB41L4A",0,3.64379454798883,0.768,0.146,0
"TSPAN5",0,-4.73357732603745,0.068,0.688,0
"LHFPL6",0,-3.44576982465958,0.047,0.664,0
"ZEB2",0,-3.19477428734239,0.119,0.735,0
"PRUNE2",0,4.37558859470592,0.684,0.071,0
"MUC20",0,5.45665723851653,0.642,0.031,0
"DSP",0,4.64137879787715,0.664,0.053,0
"NTN1",0,6.17667876698406,0.637,0.026,0
"IL1RAP",0,4.6170379095272,0.706,0.1,0
"RAB11FIP1",0,4.78198270264208,0.723,0.12,0
"TPD52",0,4.94906873933002,0.65,0.047,0
"MYH14",0,6.90238548383523,0.614,0.013,0
"TEC",0,6.19518556211891,0.624,0.025,0
"ZBTB7C",0,3.51287729208594,0.704,0.105,0
"MUC4",0,9.69917874452716,0.602,0.004,0
"LINC00511",0,6.81068691399437,0.611,0.013,0
"ESRP1",0,7.00556637134083,0.608,0.012,0
"COL6A2",0,-4.09654688378403,0.26,0.855,0
"MPZL3",0,6.76556800040298,0.607,0.014,0
"NR2F2-AS1",0,-4.05677760851034,0.121,0.712,0
"MT1G",0,5.14902784410053,0.632,0.042,0
