"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WFDC2",0,7.64985150592687,0.825,0.03,0
"CLDN3",0,7.05934948922256,0.77,0.023,0
"CLDN4",0,6.68708779996151,0.752,0.017,0
"IGF2BP2",0,4.51962696281316,0.822,0.136,0
"GREB1",0,-6.81376287645035,0.034,0.712,0
"FBXL7",0,-2.42948763147779,0.157,0.828,0
"CLDN7",0,6.67693838870755,0.691,0.021,0
"KRT8",0,4.9835979346931,0.759,0.09,0
"EPCAM",0,6.31257185235802,0.717,0.053,0
"C7",0,-14.4052805303574,0,0.663,0
"NAV3",0,-4.20529810477322,0.1,0.763,0
"LAMA2",0,-5.11345255320035,0.05,0.705,0
"KRT7",0,5.11264332939814,0.69,0.035,0
"KRT18",0,4.38351505840556,0.789,0.152,0
"GNGT1",0,7.01986683838701,0.654,0.021,0
"BNC2",0,-3.19669295465314,0.228,0.86,0
"ERBB4",0,5.59701348798304,0.711,0.086,0
"ZFPM2",0,-2.91379231047192,0.24,0.86,0
"DLC1",0,-3.90418452823089,0.047,0.664,0
"ELF3",0,5.62714030435079,0.628,0.012,0
"AKT3",0,-2.92867298435243,0.118,0.733,0
"CADM1",0,4.31578082831445,0.738,0.124,0
"DSP",0,5.04765886686792,0.657,0.053,0
"ZEB2",0,-2.54215629668616,0.132,0.735,0
"EBF1",0,-3.28726179272212,0.061,0.661,0
"EPS8",0,-3.39275256791523,0.203,0.803,0
"RBMS3",0,-3.09745049131955,0.291,0.889,0
"MECOM",0,5.98865743716411,0.664,0.066,0
"MCC",0,-3.30264163739589,0.16,0.758,0
"TACSTD2",0,6.08262829532777,0.62,0.024,0
"ITPR1",0,-3.72751680881706,0.128,0.723,0
"EPIC1",0,10.1201107646019,0.596,0.001,0
"IGF2BP3",0,9.46313801150143,0.596,0.002,0
"NR2F2-AS1",0,-3.69529111448225,0.122,0.712,0
"MAL2",0,5.25838467597922,0.608,0.022,0
"SYNPO2",0,-5.46473689011261,0.033,0.617,0
"SLPI",0,3.69041904705568,0.607,0.028,0
"IGF2",0,4.81197478986329,0.667,0.089,0
"LINC00511",0,6.75570084192452,0.591,0.013,0
"CRIP1",0,2.16327501214689,0.72,0.153,0
"PEG3",0,-4.0874951739884,0.146,0.706,0
"PDGFRA",0,-3.42938274605826,0.079,0.637,0
"IGFBP4",0,-3.11837230063325,0.227,0.785,0
"CELF2",0,-2.76945174483372,0.127,0.684,0
"C11orf96",0,-4.48964854607787,0.118,0.671,0
"STAR",0,-11.1748764976695,0.001,0.55,0
"CDH11",0,-1.65859801114345,0.157,0.704,0
"ADAMTS9-AS2",0,-3.28185792640515,0.198,0.741,0
"SPARCL1",0,-3.1594157119126,0.074,0.616,0
"DCN",0,-1.77177210139379,0.293,0.835,0
"ENSG00000248515",0,4.00170962592104,0.551,0.012,0
"HMGA2",0,4.59206875637461,0.586,0.048,0
"PAX8",0,5.06723697948463,0.57,0.033,0
"RHOBTB3",0,-2.58403964239568,0.248,0.783,0
"CD24",0,5.80791655576641,0.553,0.018,0
"C19orf33",0,4.35540808174625,0.566,0.031,0
"AFF3",0,-3.20132486281356,0.07,0.602,0
"SLC35F1",0,2.6941533673512,0.782,0.251,0
"ST14",0,7.14543458045116,0.541,0.011,0
"ENSG00000259692",0,3.93835390264915,0.585,0.055,0
"S100A4",0,2.93362457568238,0.642,0.115,0
"OGN",0,-6.83787910898493,0.022,0.549,0
"DMD",0,-4.01090857463634,0.139,0.665,0
"GATA4",0,-5.62075119162741,0.038,0.564,0
"FBN1",0,-1.95621313212109,0.166,0.692,0
