"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.93266861558663,0.835,0.09,0,"Normal","DCN"
0,4.42189837806954,0.783,0.085,0,"Normal","RHOBTB3"
0,2.7414359178122,0.766,0.081,0,"Normal","COL6A3"
0,4.7655486420813,0.741,0.062,0,"Normal","ADAMTS9-AS2"
0,3.96970587115281,0.799,0.12,0,"Normal","MEG3"
0,5.70583496499113,0.706,0.046,0,"Normal","PEG3"
0,6.48827311331504,0.663,0.011,0,"Normal","C7"
0,4.07532201321891,0.785,0.133,0,"Normal","IGFBP4"
0,5.1100008776774,0.705,0.053,0,"Normal","LAMA2"
0,2.51516787509579,0.768,0.125,0,"Normal","COL3A1"
0,3.19928603133493,0.828,0.192,0,"Normal","FBXL7"
0,3.86850907139761,0.692,0.059,0,"Normal","FBN1"
0,2.79325660716249,0.735,0.107,0,"Normal","ZEB2"
0,2.88047621174331,0.824,0.196,0,"Normal","COL1A1"
0,2.96558444373095,0.889,0.262,0,"Normal","RBMS3"
0,3.68994729918542,0.734,0.115,0,"Normal","GPC6"
0,5.18239636681875,0.671,0.054,0,"Normal","C11orf96"
0,3.29725679811965,0.704,0.089,0,"Normal","CDH11"
0,2.58346484662786,0.855,0.244,0,"Normal","COL6A2"
0,5.17531991415935,0.637,0.029,0,"Normal","PDGFRA"
0,2.52513997622934,0.847,0.24,0,"Normal","COL1A2"
0,2.44578824905121,0.845,0.251,0,"Normal","SPARC"
0,2.97910611492894,0.733,0.146,0,"Normal","AKT3"
0,3.96614814579365,0.763,0.183,0,"Normal","NAV3"
0,2.78515180205576,0.712,0.133,0,"Normal","BICC1"
0,3.61005578213461,0.712,0.144,0,"Normal","NR2F2-AS1"
0,3.69692679283973,0.688,0.126,0,"Normal","TSPAN5"
0,2.62425499680234,0.661,0.102,0,"Normal","EBF1"
0,5.5850020129318,0.564,0.014,0,"Normal","GATA4"
0,7.44230026238063,0.55,0.008,0,"Normal","STAR"
0,4.3710940588933,0.602,0.062,0,"Normal","AFF3"
0,3.94369190221341,0.64,0.101,0,"Normal","SMOC2"
0,2.24497464827822,0.664,0.128,0,"Normal","LHFPL6"
0,2.25952211167537,0.664,0.129,0,"Normal","DLC1"
0,7.32113812042283,0.549,0.02,0,"Normal","OGN"
0,2.95556964972493,0.98,0.461,0,"Normal","VIM"
0,3.58380561532862,0.616,0.1,0,"Normal","SPARCL1"
0,3.81593537326697,0.582,0.066,0,"Normal","GNG11"
0,4.81037313014063,0.544,0.028,0,"Normal","FLRT2"
0,3.02014278232807,0.86,0.345,0,"Normal","BNC2"
0,3.42262021421615,0.748,0.235,0,"Normal","PSD3"
0,2.21169002439864,0.618,0.115,0,"Normal","PRKG1"
0,7.1016219636701,0.508,0.007,0,"Normal","TCF21"
0,3.75301470868622,0.565,0.067,0,"Normal","PMP22"
0,4.83731573278635,0.553,0.058,0,"Normal","MEG8"
0,4.93201272345561,0.52,0.033,0,"Normal","PDE10A"
0,2.68006091056974,0.684,0.2,0,"Normal","CELF2"
0,2.72559468724277,0.671,0.189,0,"Normal","SYNE1"
0,1.81211514477405,0.637,0.156,0,"Normal","COL5A2"
0,5.63821037138842,0.507,0.028,0,"Normal","ATRNL1"
0,3.04293261394789,0.607,0.129,0,"Normal","LAMA4"
0,4.04118816107956,0.628,0.154,0,"Normal","KLF2"
0,5.78714386382479,0.486,0.013,0,"Normal","LINC00924"
0,1.96512779130128,0.597,0.126,0,"Normal","AEBP1"
0,4.38601500745506,0.557,0.09,0,"Normal","LSAMP"
0,2.83387341044355,0.723,0.257,0,"Normal","ITPR1"
0,1.77883686191261,0.701,0.236,0,"Normal","ANTXR1"
0,4.01813746015292,0.746,0.284,0,"Normal","APOE"
0,6.88863128533804,0.468,0.007,0,"Normal","ABCA8"
0,2.67106546746048,0.587,0.127,0,"Normal","COL5A1"
0,3.07813222833317,0.616,0.156,0,"Normal","MGP"
0,6.48988026169887,0.475,0.015,0,"Normal","PDZRN4"
0,3.76516184110985,0.504,0.046,0,"Normal","EMILIN1"
0,3.4621796254689,0.536,0.078,0,"Normal","SERPINF1"
0,3.69950194381287,0.556,0.099,0,"Normal","CACNA2D1"
0,2.30407883538443,0.846,0.39,0,"Normal","COL6A1"
0,4.24126862128599,0.497,0.042,0,"Normal","NEGR1"
0,3.51667261983545,0.623,0.168,0,"Normal","SULF2"
0,3.24527291986562,0.653,0.202,0,"Normal","MAGI2"
0,4.47043366466268,0.531,0.082,0,"Normal","CTNNA3"
0,0.551685898953886,0.683,0.235,0,"Normal","FN1"
0,1.3827976816775,0.781,0.334,0,"Normal","RARRES2"
0,2.35875284388987,0.637,0.191,0,"Normal","CFH"
0,3.52440168800344,0.482,0.036,0,"Normal","NID1"
0,3.41508875211538,0.594,0.148,0,"Normal","ACTA2"
0,3.93763704921855,0.522,0.078,0,"Normal","CPED1"
0,2.08921121551879,0.896,0.455,0,"Normal","IGFBP7"
0,4.37516833699668,0.498,0.057,0,"Normal","ENSG00000286125"
0,3.41841705018222,0.629,0.189,0,"Normal","SGK1"
0,3.14206876450639,0.649,0.212,0,"Normal","PBX3"
0,5.59102350992377,0.465,0.028,0,"Normal","ABCA10"
0,3.76810008998481,0.545,0.109,0,"Normal","BMERB1"
0,2.88313115657775,0.62,0.186,0,"Normal","GSTM3"
0,3.74809526747121,0.515,0.081,0,"Normal","SFRP1"
0,4.99304716203375,0.476,0.044,0,"Normal","GREB1L"
0,3.91410762874826,0.486,0.056,0,"Normal","KCNT2"
0,2.90577773336675,0.624,0.194,0,"Normal","FSTL1"
0,2.29469492170202,0.654,0.226,0,"Normal","ARHGAP10"
0,8.07370000202211,0.432,0.004,0,"Normal","SCN7A"
0,2.2617429846832,0.86,0.434,0,"Normal","ZFPM2"
0,6.11656141420234,0.435,0.009,0,"Normal","ABCA6"
0,2.47351305843736,0.517,0.095,0,"Normal","MEF2C"
0,4.21852910661476,0.492,0.07,0,"Normal","GASK1B"
0,2.94255182232834,0.698,0.276,0,"Normal","DLG2"
0,2.31836567968895,0.834,0.414,0,"Normal","TIMP2"
0,2.90225779922767,0.532,0.114,0,"Normal","PDZRN3"
0,2.98057859170896,0.62,0.202,0,"Normal","CAV1"
0,3.63266355999085,0.544,0.129,0,"Normal","PAPSS2"
0,2.67586209328857,0.549,0.136,0,"Normal","GYPC"
0,4.69165231582528,0.537,0.127,0,"Normal","SERPINE2"
0,2.28970977710735,0.803,0.394,0,"Normal","EPS8"
0,2.02037070854503,0.5,0.091,0,"Normal","MMP2"
0,2.40183368895014,0.602,0.193,0,"Normal","DDR2"
0,2.94537617307161,0.487,0.078,0,"Normal","CACNB2"
0,4.09721968758987,0.494,0.086,0,"Normal","SYTL4"
0,3.30140037710625,0.514,0.108,0,"Normal","ENG"
0,1.76408680116873,0.654,0.248,0,"Normal","COL4A1"
0,1.82001249556479,0.516,0.112,0,"Normal","ZEB1"
0,2.27043933999368,0.627,0.224,0,"Normal","PPP1R14A"
0,3.00853168515621,0.712,0.31,0,"Normal","GREB1"
0,4.73365735397869,0.435,0.034,0,"Normal","PTGIS"
0,1.0359830531803,0.617,0.219,0,"Normal","SYNPO2"
0,3.67520171684874,0.481,0.083,0,"Normal","KCND2"
0,4.82418088340942,0.423,0.025,0,"Normal","ITM2A"
0,1.99808096655511,0.62,0.224,0,"Normal","SDC2"
0,2.7008388820072,0.556,0.16,0,"Normal","MRC2"
0,2.435314714854,0.66,0.265,0,"Normal","LRP1"
0,2.45109138281238,0.802,0.409,0,"Normal","NR2F2"
0,2.22163170804046,0.678,0.288,0,"Normal","EPB41L2"
0,3.39649348285526,0.503,0.113,0,"Normal","ANK2"
0,3.35637823841484,0.511,0.121,0,"Normal","GRK5"
0,2.96791406238908,0.481,0.091,0,"Normal","NDN"
0,2.15749080318695,0.556,0.174,0,"Normal","EMP3"
0,3.63237255047735,0.431,0.049,0,"Normal","NID2"
0,2.83135863815759,0.83,0.448,0,"Normal","TCEAL4"
0,2.77965734981502,0.533,0.152,0,"Normal","TLE4"
0,1.894168416132,0.675,0.295,0,"Normal","FILIP1L"
0,3.0471877201395,0.47,0.09,0,"Normal","DAB2"
0,3.44350778499488,0.596,0.216,0,"Normal","HTRA1"
0,1.89638064437564,0.745,0.367,0,"Normal","DST"
0,3.78933861971868,0.41,0.033,0,"Normal","JAM3"
0,2.91664957848314,0.578,0.202,0,"Normal","LTBP4"
0,3.60846471125809,0.421,0.047,0,"Normal","ECM2"
0,2.08219783459778,0.758,0.387,0,"Normal","MCC"
0,2.7083314480853,0.488,0.117,0,"Normal","CASC15"
0,4.45880340825976,0.413,0.043,0,"Normal","PPARG"
0,2.25872363691685,0.58,0.211,0,"Normal","ANXA6"
