"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,6.58990297141893,0.665,0.025,0
"EPSTI1",0,3.11480811092166,0.657,0.194,0
"RGS1",0,2.27294250005821,0.588,0.145,0
"IFI44L",0,3.62497585504273,0.544,0.103,0
"BNC2",0,-5.12264571896983,0.021,0.45,0
"IGLC2",0,6.87504709315886,0.432,0.012,0
"CD2",0,1.85662876784769,0.707,0.313,0
"IGFBP7",0,-4.42969724767722,0.022,0.408,0
"CD74",0,2.18942184263105,0.635,0.26,0
"TYMP",0,3.59579928628528,0.469,0.1,0
"CALD1",0,-4.75775477987623,0.021,0.383,0
"ENTPD1",0,5.640813524832,0.377,0.019,0
"KLF2",0,-1.9521716515946,0.142,0.496,0
"RHOH",0,1.4418093235848,0.661,0.31,0
"DOCK8",0,1.23529731404484,0.751,0.401,0
"MX1",0,3.25045364017817,0.493,0.143,0
"DCN",0,-4.94527387964964,0.013,0.361,0
"AUTS2",0,-1.38655648241116,0.22,0.565,0
"COL6A2",0,-4.09476607597101,0.02,0.356,0
"LMNA",0,-2.52192852010049,0.096,0.43,0
"FOS",0,-1.89429101796762,0.396,0.727,0
"COL1A1",0,-3.96044933299221,0.016,0.347,0
"SLFN12L",0,1.45946261113512,0.645,0.317,0
"SAMSN1",0,1.23725401410657,0.698,0.37,0
"LCP2",0,1.56538107951122,0.554,0.227,0
"THEMIS",0,1.22777085454343,0.587,0.26,0
"ZFPM2",0,-5.14085643829091,0.015,0.341,0
"SBF2",0,-1.78492874909002,0.127,0.453,0
"MIR99AHG",0,-5.36442610194792,0.015,0.341,0
"TRAC",0,1.63235043025495,0.575,0.249,0
"ISG15",0,3.05467146613421,0.607,0.282,0
"IFI44",0,2.8809656124296,0.456,0.132,0
"COL1A2",0,-3.7442989644087,0.019,0.343,0
"PTPN22",0,1.2122558184497,0.672,0.349,0
"TIMP1",0,-3.9648306677783,0.091,0.414,0
"SVIL",0,-2.79219635206043,0.054,0.376,0
"SAMD9L",0,2.55869648779589,0.483,0.161,0
"IKZF3",0,1.47898900679798,0.598,0.277,0
"RBMS3",0,-4.10706535537459,0.022,0.342,0
"ICOS",0,1.39461772514135,0.489,0.169,0
"SKAP1",0,0.644191334993902,0.843,0.523,0
"RNF213",0,1.92466817112337,0.813,0.493,0
"TIGIT",0,2.49711515128849,0.43,0.111,0
"RBP1",0,-4.88901180810915,0.019,0.336,0
"SPARC",0,-4.59480453834641,0.015,0.331,0
"COL6A1",0,-4.37402774279066,0.013,0.329,0
"CD3G",0,1.53582255567898,0.511,0.196,0
"CD96",0,1.04134918643869,0.729,0.415,0
"MEG3",0,-5.11535997190127,0.011,0.325,0
"TTC28",0,-3.94642964089333,0.024,0.338,0
"TRIO",0,-2.6807954983003,0.042,0.355,0
"ARHGAP15",0,0.561714766824478,0.851,0.538,0
"LINC01934",0,1.36553585295739,0.567,0.255,0
"FBXL7",0,-3.83941373269824,0.012,0.323,0
"PTPRJ",0,1.55910777776157,0.631,0.32,0
"NR2F2",0,-4.92739570498633,0.014,0.325,0
"TGFBR3",0,-1.86708064568121,0.142,0.451,0
"CTLA4",0,3.62327785004513,0.337,0.031,0
"FHL2",0,-4.13201768996261,0.021,0.327,0
"PARD3",0,-3.51516287429259,0.029,0.335,0
"CLEC2D",0,1.54889013249783,0.705,0.399,0
"PTPRC",0,0.327085076595768,0.898,0.593,0
"RHOBTB3",0,-4.29646154835523,0.021,0.326,0
"CD3D",0,1.34905849617849,0.565,0.263,0
"EGR1",0,-2.92285236082572,0.065,0.365,0
"NAV3",0,-6.25024247425723,0.011,0.31,0
"PRKCH",0,0.63944856113092,0.822,0.525,0
"GPRIN3",0,1.4982599969904,0.531,0.235,0
"NFIA",0,-2.77051501505223,0.044,0.339,0
"CST3",0,-3.45207054845786,0.046,0.341,0
"CYTIP",0,1.12847913550348,0.614,0.319,0
"RARRES2",0,-4.25114747880524,0.012,0.307,0
"CPQ",0,-1.78846028581605,0.083,0.378,0
"PBX1",0,-4.09116898081216,0.021,0.315,0
"LDLRAD4",0,1.36546061041568,0.554,0.261,0
"TIMP2",0,-2.83323240241614,0.045,0.337,0
"FYB1",0,0.877264233353772,0.687,0.396,0
"MYADM",0,-1.97112225412926,0.109,0.399,0
"TOX",0,1.44091615164434,0.614,0.324,0
"CDH11",0,-4.87389747963629,0.012,0.302,0
"ITGAE",0,3.18491794241938,0.463,0.174,0
"BICDL1",0,1.4930278226299,0.434,0.147,0
"IGF1R",0,-3.22217056630006,0.026,0.313,0
"PPP1R16B",0,0.974934929871384,0.609,0.322,0
"LAMA2",0,-4.60582874620409,0.019,0.305,0
"TPM2",0,-4.32312988255039,0.028,0.313,0
"PEG3",0,-6.83026426709519,0.007,0.292,0
"CD38",0,2.58192901650405,0.371,0.088,0
"MCC",0,-3.66952678990626,0.033,0.316,0
"IGFBP4",0,-4.03023419951064,0.036,0.319,0
"PTK2",0,-2.96471448134297,0.033,0.315,0
"TCF4",0,-2.81383787406865,0.032,0.314,0
"TCEAL4",0,-3.63408699362873,0.042,0.324,0
"FOSB",0,-1.49288942160115,0.349,0.63,0
"GBP5",0,2.01950925793724,0.42,0.139,0
"HLA-DRA",0,2.40611436756922,0.418,0.137,0
"XAF1",0,2.2543815847673,0.556,0.276,0
"ACSM3",0,-6.0497861125128,0.013,0.293,0
"SSBP2",0,-1.84595326169686,0.101,0.38,0
"HAVCR2",0,2.80418825058853,0.357,0.079,0
"COL3A1",0,-4.06538101830746,0.021,0.298,0
"CD69",0,0.704903713067413,0.682,0.406,0
"IGHG4",0,6.13379568359304,0.286,0.01,0
"NR2F2-AS1",0,-5.13916851121007,0.011,0.287,0
"APP",0,-2.59682254128506,0.048,0.323,0
"GREB1",0,-5.94575106628006,0.01,0.285,0
"SP140",0,1.24870720732559,0.502,0.229,0
