"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,7.0933074429829,0.605,0.025,0
"AUTS2",0,-1.73719280746018,0.135,0.565,0
"FOSB",0,-1.76253713063729,0.214,0.63,0
"FOS",0,-2.0110649196624,0.311,0.727,0
"BNC2",0,-3.48020167346735,0.06,0.45,0
"DNAJB1",0,-2.06800405601908,0.18,0.564,0
"ZEB2",0,-1.50405769030714,0.221,0.604,0
"TGFBR3",0,-2.2978237424219,0.071,0.451,0
"HSP90AB1",0,-1.16128531776514,0.371,0.745,0
"IGLC2",0,7.12747133396287,0.378,0.012,0
"MORF4L2",0,-1.33786342184601,0.166,0.526,0
"ZFP36",0,-1.40693825101264,0.189,0.546,0
"SNHG5",0,-1.42564470984422,0.116,0.47,0
"KLF2",0,-1.548541875057,0.142,0.496,0
"SBF2",0,-1.81264558842193,0.102,0.453,0
"ANXA1",0,-1.36265597478056,0.281,0.629,0
"PABPC1",0,-0.55337188766441,0.341,0.689,0
"AKT3",0,-0.796901257962061,0.226,0.571,0
"HSPD1",0,-1.30858914682533,0.189,0.532,0
"MT-ND4L",0,-0.813087634902208,0.188,0.531,0
"RPL7",0,-1.16357267407088,0.444,0.784,0
"HSPA1B",0,-2.19858136142225,0.155,0.491,0
"HSPH1",0,-2.02886452068041,0.154,0.49,0
"PNRC1",0,-0.662436888141236,0.21,0.545,0
"DENND4A",0,-0.898880116035885,0.24,0.575,0
"ZSWIM6",0,-1.23558986519443,0.15,0.484,0
"ARIH1",0,-0.619929417993631,0.301,0.632,0
"IGFBP7",0,-1.5543089361937,0.077,0.408,0
"LMNA",0,-2.14240044780482,0.101,0.43,0
"MYADM",0,-2.06265320773958,0.073,0.399,0
"CALD1",0,-1.97658451406776,0.064,0.383,0
"DSTN",0,-1.55538912943755,0.117,0.436,0
"EGR1",0,-3.43032897156207,0.051,0.365,0
"FOXP1",0,-0.337846056740225,0.399,0.713,0
"FBXO11",0,-0.673233643847265,0.234,0.547,0
"SNHG29",0,-1.14351925140704,0.265,0.578,0
"HSPA1A",0,-2.22768932746043,0.249,0.559,0
"NR4A1",0,-2.80524823265044,0.053,0.363,0
"CUX1",0,-0.977798146790557,0.15,0.458,0
"DNAJA1",0,-0.654568378140008,0.329,0.637,0
"PPP3CA",0,-0.566039585091199,0.262,0.57,0
"MED13L",0,-0.345659692656383,0.283,0.59,0
"TTC3",0,-0.636539933848586,0.178,0.485,0
"EIF4A2",0,-0.295525934616328,0.285,0.591,0
"DCN",0,-2.34585254036028,0.056,0.361,0
"HLA-DRB1",0,3.16216848686754,0.458,0.154,0
"SYNE1",0,-0.672816232519811,0.262,0.566,0
"RALGAPA1",0,-0.682821974628263,0.223,0.526,0
"CPQ",0,-1.75227544123908,0.075,0.378,0
"MIR99AHG",0,-3.23696717300874,0.039,0.341,0
"CCNH",0,-0.58627300434225,0.256,0.557,0
"TLE4",0,-1.27950040170079,0.106,0.407,0
"SVIL",0,-1.96457698698765,0.075,0.376,0
"RPL4",0,-0.630104442112666,0.393,0.694,0
"LTB",0,3.32945641164209,0.438,0.138,0
"EEF2",0,-0.71953921208876,0.279,0.579,0
"EIF4B",0,-0.856876677570413,0.143,0.44,0
"ST13",0,-1.14627465198832,0.152,0.449,0
"S100A10",0,-0.73966941292171,0.311,0.608,0
"GAS5",0,-0.794847165315526,0.254,0.55,0
"ESYT2",0,-0.52320794155435,0.231,0.527,0
"RAB11A",0,-0.536486666532065,0.247,0.543,0
"COL6A2",0,-2.2624157336064,0.06,0.356,0
"NAP1L1",0,-0.523951987737256,0.261,0.556,0
"MBNL2",0,-0.920057633053638,0.137,0.432,0
"PTGES3",0,-0.298565685003466,0.315,0.608,0
"HSP90B1",0,-0.819934036871303,0.199,0.492,0
"NFIA",0,-2.797587185102,0.047,0.339,0
"JMJD1C",0,-0.312963302952381,0.393,0.684,0
"MT-ND5",0,-0.429708226060655,0.606,0.897,0
"EEF1B2",0,-0.565637342928422,0.442,0.733,0
"SIK3",0,-0.554768327678544,0.454,0.745,0
"C12orf57",0,-0.629825744044823,0.197,0.487,0
"RBMS3",0,-2.4710244895311,0.053,0.342,0
"DUSP1",0,-0.91526163771603,0.321,0.61,0
"MCL1",0,-0.549352912958297,0.353,0.641,0
"RBP1",0,-3.67047565270737,0.048,0.336,0
"FNDC3B",0,-0.702226788761773,0.258,0.546,0
"DNAJB6",0,-0.52455770495045,0.263,0.551,0
"ZFPM2",0,-3.08904837967257,0.053,0.341,0
"TIMP1",0,-2.31438725960473,0.126,0.414,0
"GSTP1",0,-0.591615004908508,0.228,0.515,0
"TTC28",0,-2.96710872974701,0.051,0.338,0
"DDX3X",0,-0.456087182344415,0.267,0.554,0
"ITM2B",0,-0.452141745894581,0.422,0.709,0
"COL1A1",0,-1.78414765622235,0.062,0.347,0
"IMMP2L",0,-1.12190627935731,0.146,0.43,0
"MEG3",0,-4.11250331524051,0.041,0.325,0
"EIF3E",0,-0.429256118363286,0.271,0.554,0
"PLCB1",0,-1.89367622542522,0.093,0.376,0
"TRIO",0,-1.90271814185363,0.072,0.355,0
"RORA",0,-0.346303092130673,0.395,0.677,0
"LAPTM4A",0,-1.3928119866882,0.119,0.4,0
"BCLAF1",0,-0.492654192871591,0.179,0.46,0
"HNRNPA1",0,-0.439408096838917,0.361,0.642,0
"RPL23",0,-0.901007981969285,0.432,0.713,0
"SFPQ",0,-0.410097617544933,0.214,0.494,0
"RAPGEF2",0,-1.46617807697845,0.1,0.38,0
"PARD3",0,-2.59582228497793,0.055,0.335,0
"PPP1R15A",0,-0.679396718469605,0.164,0.444,0
"RERE",0,-0.50692716710171,0.196,0.476,0
"CD63",0,-0.68130730148128,0.316,0.596,0
"SSBP2",0,-1.41149585324822,0.101,0.38,0
"COL1A2",0,-1.71119869315599,0.064,0.343,0
"CD81",0,-0.315805246860116,0.292,0.571,0
"YWHAQ",0,-0.420205721712187,0.215,0.493,0
"NFE2L2",0,-0.540712132188357,0.178,0.456,0
"RHOBTB3",0,-2.93794619926815,0.049,0.326,0
"NR2F2",0,-2.67157816207109,0.048,0.325,0
"RTN4",0,-0.680408883703497,0.195,0.472,0
"HSPE1",0,-0.535936325468756,0.306,0.583,0
"SSBP3",0,-1.20499240379573,0.095,0.371,0
"SPTBN1",0,-1.46391010973716,0.104,0.38,0
"FHL2",0,-2.5757292898352,0.051,0.327,0
"TIMP2",0,-2.44573706378128,0.061,0.337,0
"EHBP1",0,-1.2186201035199,0.131,0.406,0
"RPL31",0,-0.431256103577474,0.39,0.665,0
"LPP",0,-0.279118965326739,0.402,0.677,0
