"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BNC2",0,-3.52960739831975,0.055,0.45,0
"SNHG29",0,-2.24183661141803,0.183,0.578,0
"IGFBP7",0,-4.32510347824246,0.025,0.408,0
"BTF3",0,-1.41905355740764,0.321,0.696,0
"EEF1B2",0,-1.37495013738558,0.373,0.733,0
"KLF2",0,-1.71609695721058,0.137,0.496,0
"CALD1",0,-4.23707397459038,0.026,0.383,0
"EEF1G",0,-1.4618271764244,0.332,0.687,0
"SKAP1",0,1.09673297950907,0.878,0.523,0
"EIF3E",0,-1.25596381969391,0.201,0.554,0
"CLNK",0,4.31650586151235,0.385,0.032,0
"UQCRB",0,-1.04578412121309,0.282,0.634,0
"DCN",0,-4.96622780699814,0.013,0.361,0
"RPL7",0,-1.6202501068945,0.437,0.784,0
"DOCK8",0,1.68309990400004,0.744,0.401,0
"ATP8B4",0,3.07649617650849,0.458,0.116,0
"CD247",0,1.41637217717828,0.782,0.442,0
"RPLP0",0,-1.57018947213426,0.4,0.739,0
"TIMP1",0,-4.31901674321221,0.076,0.414,0
"TGFBR3",0,-1.67678718300062,0.115,0.451,0
"COL6A2",0,-3.323230509926,0.021,0.356,0
"PRKCH",0,1.35002079078397,0.859,0.525,0
"AKT3",0,-0.724838563310192,0.239,0.571,0
"TOX",0,1.7445422461185,0.655,0.324,0
"COL1A1",0,-3.4505837515296,0.019,0.347,0
"COL1A2",0,-3.40080014394711,0.017,0.343,0
"GNLY",0,1.66151587534181,0.561,0.236,0
"S100A10",0,-1.49374633352282,0.284,0.608,0
"RBMS3",0,-3.7179068293172,0.018,0.342,0
"ZFPM2",0,-4.20163898291799,0.018,0.341,0
"EIF3F",0,-1.22612993599274,0.137,0.459,0
"RBFOX2",0,-2.06284457937399,0.069,0.389,0
"RBP1",0,-5.13056058916236,0.017,0.336,0
"SLC25A6",0,-1.11124128377725,0.213,0.531,0
"C12orf57",0,-1.130599037659,0.169,0.487,0
"EEF2",0,-1.26255870632963,0.261,0.579,0
"RPS5",0,-1.42662958432419,0.48,0.797,0
"SPARC",0,-5.06944120577902,0.014,0.331,0
"GAS5",0,-1.28359745125458,0.235,0.55,0
