"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MMP11",0,9.58238796335653,0.636,0.028,0
"KIF26B",0,6.47077173535889,0.603,0.034,0
"CTHRC1",0,6.13419922920046,0.619,0.052,0
"POSTN",0,6.6739961751166,0.591,0.044,0
"IFI27",0,3.86855149400333,0.738,0.198,0
"FAP",0,6.07440834368002,0.562,0.028,0
"VCAN",0,5.22207272424733,0.604,0.072,0
"PLAU",0,7.64962142455693,0.543,0.023,0
"PCDH7",0,4.10684943697219,0.585,0.076,0
"SULF1",0,5.47763290356545,0.597,0.094,0
"NTM",0,7.45027973381198,0.505,0.007,0
"COL11A1",0,5.53275450670652,0.572,0.078,0
"LUM",0,4.05788016960281,0.628,0.136,0
"SFRP2",0,6.06868962976789,0.487,0.006,0
"PTGDS",0,4.05174849824697,0.561,0.081,0
"PRRX1",0,4.73483631082432,0.56,0.086,0
"ISG15",0,3.24466585100077,0.755,0.282,0
"IGFBP2",0,3.08579550103304,0.741,0.273,0
"COL8A1",0,3.76305332327181,0.549,0.087,0
"RFX8",0,7.27528011468261,0.472,0.015,0
"RUNX2",0,2.89959447997559,0.593,0.136,0
"NNMT",0,3.61294281060262,0.562,0.11,0
"COLEC12",0,4.63744676685651,0.523,0.072,0
"PHACTR1",0,5.48463877127068,0.517,0.067,0
"CACNA1C",0,4.0387545412203,0.518,0.07,0
"SLIT3",0,2.73124717378142,0.557,0.117,0
"FN1",0,4.21002409285876,0.7,0.261,0
"CTSK",0,4.73726466411458,0.56,0.123,0
"COL10A1",0,5.16476954378147,0.462,0.025,0
"TYMP",0,3.15201920760075,0.533,0.1,0
"CADM1",0,3.59546388472783,0.514,0.083,0
"CSMD2",0,7.7740889779662,0.433,0.007,0
"MMP14",0,4.1789979416846,0.528,0.103,0
"PCOLCE",0,3.51818129731415,0.598,0.173,0
"ECM1",0,5.26247637918638,0.466,0.042,0
"IFI6",0,3.21426672169734,0.6,0.179,0
"SLC35F1",0,2.04495491718942,0.581,0.162,0
"PMEPA1",0,2.65713136182498,0.588,0.172,0
"TMEM158",0,5.16973982991269,0.455,0.04,0
"ITGB5",0,3.3693611347231,0.518,0.108,0
"CTSB",0,3.04522098715008,0.613,0.203,0
"AEBP1",0,3.43627489359649,0.629,0.22,0
